category,tag_id,label_nl,label_en,elite_gated,relevance_scope,relevance_clusters_high,relevance_clusters_low,relevance_countries_high,exclude_countries,notes
goals,goal-business-professional,Zakelijk & Professioneel,Business & Professional,no,universal,,,,,Universal across all eligible countries. Mid-class baseline.
goals,goal-elite-society,Elite Society,Elite Society,yes,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E4_MEDITERRANEAN_ARISTOCRATIC|E5_GULF_ROYAL|E13_CEE_POST_SOVIET,,,,AMBASSADEUR-gated. Highest relevance in Tier A/B clusters with active aristocratic society. Less applicable in Tier C UHNW-only (different code) and Tier D (insufficient documentation).
goals,goal-romantic-social,Romantisch & Sociaal,Romantic & Social,no,universal,,,,,Universal. Mid-class lifestyle baseline.
goals,goal-world-traveler,Wereldreiziger,World Traveler,no,universal,,,,,Universal — travel ambition not culturally restricted in elite context. Note: Tier D countries may have limited 'travel-from' affordances.
goals,goal-philanthropy-impact,Filantropie & Maatschappelijke impact,Philanthropy & Social Impact,yes,cluster_dependent,E2_ANGLOSPHERE_OLD_MONEY|E1_NW_EUROPE_ARISTOCRATIC|E5_GULF_ROYAL|E7_EAST_ASIAN_CONFUCIAN,,US|GB|CH|DE|SA|AE|HK|SG,,"AMBASSADEUR-gated. UHNW + family-foundation tradition strongest in Anglo Old Money + NW European aristocratic-foundation tradition + Gulf royal-zakat tradition + East Asian family-foundation culture. Country overrides: US (Rockefeller/Gates tradition), CH (Geneva private foundations), SA/AE (royal zakat-charity)."
goals,goal-science-research,Wetenschap & Onderzoek,Science & Research,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES|E7_EAST_ASIAN_CONFUCIAN,E4_MEDITERRANEAN_ARISTOCRATIC|E13_CEE_POST_SOVIET,,,"Open tag. Highest in NW European + Anglo + Nordic + East Asian Confucian (academic-elite traditions: Oxbridge, Ivy League, Grandes Écoles, Tsinghua/Peking, Tokyo Univ, Karolinska). Lower in Mediterranean/CEE (less institutional academic-elite continuity)."
goals,goal-politics-diplomacy,Politiek & Diplomatie,Politics & Diplomacy,yes,country_specific,,,BE|GB|FR|DE|US|CH|NL|AT|IT|RU|CN|JP|IN|BR|SA|AE|IL|TR|EG|MA,,AMBASSADEUR-gated. Country-specific override: capital-cities + diplomatic-hub countries. BE special (Brussels = EU-NATO HQ). CH (Geneva UN). Vatican = ecclesiastical diplomacy. Lower in Tier D and Pacific microstates.
goals,goal-family-generation,Familie & Generationele transmissie,Family & Generational Transmission,yes,cluster_dependent,E5_GULF_ROYAL|E7_EAST_ASIAN_CONFUCIAN|E1_NW_EUROPE_ARISTOCRATIC|E9_SOUTH_ASIA|E10_LATIN_AMERICA_CRIOLLO,E11_CARIBBEAN_ANGLO,,,"AMBASSADEUR-gated. Family-business-succession + estate-transmission context strongest in: Gulf royal/tribal succession, East Asian Confucian filial-piety + chaebol/family-firm, NW European aristocratic primogenituur, South Asian joint-family + dynastic businesses, Latin American criollo family-firm. Less central in Anglo individualism."
goals,goal-spiritual-religious,Spirituele & Religieuze groei,Spiritual & Religious Growth,no,cluster_dependent,E5_GULF_ROYAL|E14_VATICAN_RELIGIOUS|E9_SOUTH_ASIA|E6_LEVANT_MAGHREB|E12_SUB_SAHARA,E2_ANGLOSPHERE_OLD_MONEY|E3_NORDIC_MONARCHIES,VA|SA|IR|IL|TH|BT|MA,,Open. Strongest in religious-public-sphere cultures (Gulf/Vatican/SE Asian Buddhist monarchies/Iran shi'a). Lowest in secularised Anglo + Nordic. Vatican (VA) = ecclesiastical heart. BT (Bhutan) Buddhist monarchy. SA-IR religious-elite formal.
goals,goal-creative-artistic,Creatief & Artistiek,Creative & Artistic,no,cluster_dependent,E1_NW_EUROPE_ARISTOCRATIC|E4_MEDITERRANEAN_ARISTOCRATIC|E2_ANGLOSPHERE_OLD_MONEY|E7_EAST_ASIAN_CONFUCIAN,,FR|IT|BE|DE|AT|GB|US|JP,,"Open. Cultural-capital cities (Paris, Florence, Berlin, Vienna, London, NYC, Tokyo) define creative-elite tradition. Belgian comics-art tradition. Japanese aesthetic-craft (kado, sadō, etc.)."
goals,goal-athletic-excellence,Sportieve excellence,Athletic Excellence,no,universal,,,,,Universal. Athletic ambition is culturally cross-cutting. Specific sport-relevance is captured in Sport & Vrijetijd tags.
goals,goal-lifestyle-wellbeing,Lifestyle & Welzijn,Lifestyle & Wellbeing,no,universal,,,,,"Universal. Wellness as life-goal is culture-cross-cutting. Specific wellness-practices (yoga, meditation, etc.) are captured in lifestyle tags later."
spheres,sphere-business-boardroom,Zakelijk & Boardroom,Business & Boardroom,no,universal,,,,,Universal. Business-elite arena across all Tier A/B/C countries.
